android_id,version
SQ1A.220105.002,android-12.0.0_r26
SP1A.210812.016.A2,android-12.0.0_r25
SQ1D.211205.016.A5,android-12.0.0_r21
SQ1D.211205.016.A4,android-12.0.0_r20
SQ1D.211205.017,android-12.0.0_r19
SQ1D.211205.016.A1,android-12.0.0_r18
SQ1A.211205.008,android-12.0.0_r16
SD1A.210817.037.A1,android-12.0.0_r15
SD1A.210817.037,android-12.0.0_r14
SD1A.210817.036.A8,android-12.0.0_r13
SD1A.210817.036,android-12.0.0_r12
SP1A.211105.004,android-12.0.0_r11
SP1A.211105.003,android-12.0.0_r10
SP1A.211105.002.A1,android-12.0.0_r9
SP1A.211105.002,android-12.0.0_r8
SD1A.210817.019.C4,android-12.0.0_r7
SD1A.210817.019.C2,android-12.0.0_r6
SD1A.210817.019.B1,android-12.0.0_r5
SD1A.210817.015.A4,android-12.0.0_r4
SP1A.210812.016.A1,android-12.0.0_r3
SP1A.210812.015,android-12.0.0_r1
8001874,android-security-11.0.0_r51
7804787,android-security-11.0.0_r50
7786871,android-security-11.0.0_r49
RD2A.211001.002,android-11.0.0_r48
RD2A.211001.001,android-11.0.0_r47
RQ3A.211001.001,android-11.0.0_r46
RD2A.210905.003,android-11.0.0_r45
RD2A.210905.002,android-11.0.0_r44
RQ3A.210905.001,android-11.0.0_r43
RD2A.210605.007,android-11.0.0_r42
RD2A.210605.006,android-11.0.0_r41
RQ3A.210805.001.A1,android-11.0.0_r40
RQ3A.210705.001,android-11.0.0_r39
RQ3A.210605.005,android-11.0.0_r38
RQ2A.210505.003,android-11.0.0_r37
RQ2A.210505.002,android-11.0.0_r36
RQ2A.210405.006,android-11.0.0_r35
RQ2A.210405.005,android-11.0.0_r34
RQ2A.210305.007,android-11.0.0_r33
RQ2A.210305.006,android-11.0.0_r32
RQ1D.210205.004,android-11.0.0_r31
RQ1C.210205.006,android-11.0.0_r30
RQ1A.210205.004,android-11.0.0_r29
RQ1D.210105.003,android-11.0.0_r28
RQ1A.210105.003,android-11.0.0_r27
RQ1A.210105.002,android-11.0.0_r26
RP1A.201005.004.A1,android-11.0.0_r25
RQ1D.201205.012.A1,android-11.0.0_r24
RQ1A.201205.003.A1,android-11.0.0_r23
RQ1A.201205.011,android-11.0.0_r22
RQ1A.201205.008.A1,android-11.0.0_r21
RQ1A.201205.010,android-11.0.0_r20
RQ1A.201205.008,android-11.0.0_r19
RQ1A.201205.003,android-11.0.0_r18
RP1A.201105.002,android-11.0.0_r17
RD1B.201105.010,android-11.0.0_r16
RD1A.201105.003.C1,android-11.0.0_r15
RD1A.201105.003.B1,android-11.0.0_r14
RD1A.201105.003.A1,android-11.0.0_r13
RD1A.201105.003,android-11.0.0_r12
RD1A.200810.022.A4,android-11.0.0_r11
RD1A.200810.021.B3,android-11.0.0_r10
RD1A.200810.020.A1,android-11.0.0_r9
